Using KNN: 0
Data Used, Training Error, Test Error
10,0.0%,30.737704918032787%
20,0.0%,30.737704918032787%
30,0.0%,30.327868852459016%
40,0.0%,29.098360655737704%
50,0.0%,26.639344262295083%
60,0.0%,24.59016393442623%
70,0.0%,24.59016393442623%
80,0.0%,19.262295081967213%
90,0.0%,19.262295081967213%
100,0.0%,16.39344262295082%

Using KNN: 1
Data Used, Training Error, Test Error
10,22.5%,31.557377049180328%
20,19.375%,33.19672131147541%
30,13.750000000000002%,29.918032786885245%
40,15.625%,31.967213114754102%
50,14.000000000000002%,33.19672131147541%
60,13.541666666666666%,32.78688524590164%
70,11.25%,31.557377049180328%
80,10.15625%,29.508196721311474%
90,8.333333333333332%,29.508196721311474%
100,7.375%,30.737704918032787%

Using KNN: 2
Data Used, Training Error, Test Error
10,21.25%,31.147540983606557%
20,19.375%,31.147540983606557%
30,15.0%,34.83606557377049%
40,16.25%,31.557377049180328%
50,14.499999999999998%,30.327868852459016%
60,13.958333333333334%,32.78688524590164%
70,13.214285714285715%,34.01639344262295%
80,12.968750000000002%,29.098360655737704%
90,12.777777777777777%,29.508196721311474%
100,12.25%,27.86885245901639%

Using KNN: 3
Data Used, Training Error, Test Error
10,26.25%,31.557377049180328%
20,26.25%,31.967213114754102%
30,20.0%,30.737704918032787%
40,22.5%,31.967213114754102%
50,21.25%,33.19672131147541%
60,21.458333333333332%,32.37704918032787%
70,19.642857142857142%,32.78688524590164%
80,19.84375%,29.508196721311474%
90,18.88888888888889%,27.86885245901639%
100,19.0%,27.049180327868854%

Using KNN: 4
Data Used, Training Error, Test Error
10,22.5%,34.01639344262295%
20,28.125%,30.327868852459016%
30,20.0%,29.918032786885245%
40,22.1875%,31.147540983606557%
50,21.25%,31.147540983606557%
60,18.75%,31.147540983606557%
70,18.21428571428571%,29.508196721311474%
80,19.84375%,31.147540983606557%
90,18.88888888888889%,30.327868852459016%
100,20.75%,29.508196721311474%

Using KNN: 5
Data Used, Training Error, Test Error
10,33.75%,31.967213114754102%
20,26.875%,31.147540983606557%
30,25.416666666666664%,29.098360655737704%
40,27.187499999999996%,31.147540983606557%
50,28.999999999999996%,32.78688524590164%
60,27.083333333333332%,34.01639344262295%
70,28.035714285714285%,32.37704918032787%
80,27.500000000000004%,29.098360655737704%
90,25.13888888888889%,29.508196721311474%
100,26.375%,29.098360655737704%

Using KNN: 6
Data Used, Training Error, Test Error
10,33.75%,31.147540983606557%
20,33.125%,27.049180327868854%
30,30.416666666666664%,32.78688524590164%
40,30.0%,33.60655737704918%
50,32.0%,32.37704918032787%
60,29.791666666666668%,29.098360655737704%
70,29.642857142857142%,31.967213114754102%
80,29.843750000000004%,29.508196721311474%
90,28.194444444444443%,28.278688524590162%
100,29.125%,28.278688524590162%

