Using Kernel: Linear
Data Used, Training Error, Test Error
10,27.500000000000004%,50.0%
20,21.875%,40.16393442622951%
30,20.0%,36.47540983606557%
40,21.5625%,34.42622950819672%
50,25.25%,34.01639344262295%
60,25.0%,31.557377049180328%
70,24.46428571428571%,27.459016393442624%
80,24.53125%,29.508196721311474%
90,22.5%,26.639344262295083%
100,22.125%,29.918032786885245%

Using Kernel: Polynomial
Data Used, Training Error, Test Error
10,0.0%,40.98360655737705%
20,1.25%,35.24590163934426%
30,3.75%,32.78688524590164%
40,3.75%,30.737704918032787%
50,4.25%,27.86885245901639%
60,4.583333333333333%,25.40983606557377%
70,5.714285714285714%,25.0%
80,6.71875%,25.81967213114754%
90,7.638888888888889%,24.18032786885246%
100,6.875000000000001%,26.229508196721312%

